date,lat,lon,depth,mag,eq_5km,eq_10km,eq_20km,eq_30km
2009-10-06 01:31:39.170000+00:00,40.4478333,-120.7021667,4.375,1.73,False,False,False,False
2009-10-06 02:34:03.930000+00:00,39.8168333,-123.2166667,4.967,2.04,False,False,True,True
2009-10-06 05:26:52.400000+00:00,40.4716667,-120.6391667,6.655,1.79,False,False,False,False
2009-10-06 05:29:32.170000+00:00,40.4495,-120.6888333,3.064,2.12,False,False,False,False
2009-10-06 05:42:02.620000+00:00,40.4483333,-120.6898333,7.074,1.85,False,False,False,False
2009-10-06 08:05:30.770000+00:00,46.3923333,-119.2833333,-0.095,1.5,False,False,False,False
2009-10-06 17:51:27.501000+00:00,40.287,-119.7368,22.9,2.3,False,False,False,False
2009-10-06 19:00:38.800000+00:00,40.3926667,-124.3891667,30.177,2.08,False,False,False,True
2009-10-06 20:37:25.050000+00:00,40.3678,-119.7299,3.8,1.6,False,False,False,False
2009-10-07 00:32:44.090000+00:00,40.2921667,-124.4315,16.707,1.96,False,False,True,True
2009-10-07 03:25:36.340000+00:00,40.1391667,-123.1998333,33.394,1.95,False,False,True,True
2009-10-07 13:26:14.620000+00:00,40.1596667,-123.2786667,33.392,2.12,False,False,True,True
2009-10-07 13:32:44.410000+00:00,40.1495,-123.2865,33.842,2.1,False,False,True,True
2009-10-07 14:34:12.080000+00:00,39.6595,-122.8621667,-1.188,1.6,False,False,False,True
2009-10-07 17:00:59.410000+00:00,46.8501667,-121.7663333,-2.731,2.4,False,False,False,False
2009-10-07 18:39:37.980000+00:00,40.4591667,-120.673,14.054,1.9,False,False,False,False
2009-10-07 18:47:27.240000+00:00,40.4516667,-120.6865,3.054,1.91,False,False,False,False
2009-10-08 00:44:17.230000+00:00,39.5426,-119.9169,5.9,1.9,False,False,False,False
2009-10-08 20:23:11.330000+00:00,40.4341667,-120.6886667,11.594,1.85,False,False,False,False
2009-10-08 23:00:13.580000+00:00,40.3556667,-124.2435,23.107,2.37,False,False,False,True
2009-10-09 10:34:14.390000+00:00,40.368,-125.0361667,-0.283,2.81,False,False,True,True
2009-10-09 12:56:54.770000+00:00,47.8538333,-122.3191667,22.449,1.5,False,False,False,True
2009-10-09 13:31:37.950000+00:00,39.5548333,-123.392,8.16,1.82,False,True,True,True
2009-10-09 15:44:37.446000+00:00,39.4417,-119.1625,12.0,2.4,False,False,False,False
2009-10-09 15:46:46.280000+00:00,40.306,-124.4738333,15.547,2.46,False,False,True,True
2009-10-09 17:37:16.550000+00:00,46.1476667,-122.8326667,-0.772,1.8,False,False,False,False
2009-10-09 19:00:56.130000+00:00,39.8131667,-123.217,3.565,1.63,False,False,True,True
2009-10-09 23:41:37.891000+00:00,39.6971,-120.6839,11.8,1.5,False,False,False,False
2009-10-10 03:38:47.380000+00:00,47.2248333,-122.6881667,22.177,1.5,False,True,True,True
